@relation boilerplate

@attribute Length numeric
@attribute PageProp numeric
@attribute PercText numeric
@attribute PercDiv numeric
@attribute DocMarkupProp numeric
@attribute MarkupProp numeric
@attribute PunctProp numeric
@attribute LetterProp numeric
@attribute NumberProp numeric
@attribute TagProp numeric
@attribute EmailProp numeric
@attribute UriProp numeric
@attribute HashProp numeric
@attribute YearProp numeric
@attribute AnchorProp numeric
@attribute UpperProp numeric
@attribute SentBogus numeric
@attribute SentLength numeric
@attribute SentCount numeric
@attribute Copy numeric
@attribute EndsPunct numeric
@attribute DtXhtml numeric
@attribute DtHtml4 numeric
@attribute DtHtml5 numeric
@attribute ContArticle numeric
@attribute ContSection numeric
@attribute ContDiv numeric
@attribute ContP numeric
@attribute ContH numeric
@attribute ContBlock numeric
@attribute ContTd numeric
@attribute ContLi numeric
@attribute ContClose numeric
@attribute OpenProp numeric
@attribute SkippedDivs numeric
@attribute Window1 numeric
@attribute Window2 numeric
@attribute Boiler {B,T}

@data
0.075,0.011748,0.864818,0.946309,0.059297,0.973051,0.026667,0.984375,0,0,0,0,0,0,0,0.126984,0,0.75,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.535714,0.05,0.539968,0.553358,B
0.03,0.004699,0.22713,0.040268,0.059297,0.673913,0.1,0.928571,0,0,0,0,0,0,0.035714,0.192308,1,0.3,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.555556,0.15,0.72737,0.72706,B
0.085,0.031991,0.46067,0.317073,0.085357,0.817987,0,1.01282,0,0,0,0,0,0,0.012821,0.063291,1,0.85,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.454546,0.15,0.843598,0.822415,B
0.011,0.001457,0.151126,0.497076,0.143307,0.903509,0,1.1,0,0,0,0,0,0,0.1,0,1,0.11,0.1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.6,0,0.58949,0.556988,B
0.016,0.000383,0.901953,0.867647,0.688759,0.272727,0.25,0,0.8,0,0,0,0,0.066667,0,0,1,0.16,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0.05,0.3067,0.315333,B
0.021,0.008568,0.211342,0.287671,0.075179,0.363636,0,1.052632,0,0,0,0,0,0,0.105263,0.15,1,0.21,0.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.545455,0.45,0.26775,0.225465,B
0.013,0.001809,0.159221,0.294798,0.115091,0.690476,0,1,0,0,0,0,0,0,0.090909,0.090909,1,0.13,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.375,0.2,0.762037,0.823511,B
0.016,0.000383,0.528007,0.602941,0.688759,0.272727,0.25,0,0.8,0,0,0,0,0.066667,0,0,1,0.16,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0.05,0.327577,0.389024,B
0.019,0.000599,0.206085,0.013575,0.455538,0.208333,0.105263,0.941177,0,0,0,0,0,0,0,0.3125,1,0.19,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.326058,0.311544,B
0.005,0.000432,0.999569,1,0.63407,0.919355,0,1.2,0,0,0,0,0,0,0.2,0.166667,1,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.636364,0.15,0.681531,0.776396,B
0.006,0.000797,0.018056,0.672863,0.057014,0.958042,0,1.2,0,0,0,0,0,0,0.2,0.166667,1,0.06,0.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.545455,0.15,0.937682,0.882204,B
1,0.034685,0.681707,0.661765,0.688759,0.143111,0.046929,0.926849,0.017685,0,0,0,0,0.000804,0,0.071119,0,1,0.4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.939394,0.1,0.271946,0.326804,T
0.014,0.001407,0.786152,0.453454,0.068524,0.263158,0.071429,1,0,0,0,0,0,0,0,0.166667,1,0.14,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.571429,0.4,0.715625,0.807976,B
0.007,0.0043,0.935504,0.833333,0.063651,0.898551,0,1.142857,0,0,0,0,0,0,0.142857,0.125,1,0.07,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.921739,0.932798,B
0.003,0.00034,0.178292,0.153153,0.076525,0.666667,0,1.333333,0,0,0,0,0,0,0,0.25,1,0.03,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0.05,0.512385,0.500954,B
0.013,0.001726,0.969862,0.933086,0.057014,0.884956,0.076923,1,0,0,0,0,0,0,0.076923,0,1,0.13,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.912632,0.919803,B
0.045,0.002851,0.527373,0.355769,0.142219,0.85,0.422222,0.525,0.025,0,0,0,0,0,0.025,0.095238,0,0.45,0.1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.7,0.05,0.738127,0.695612,B
0.007,0.003367,0.697451,0.016949,0.07411,0.862745,0.142857,1,0,0,0,0,0,0,0.142857,0.285714,1,0.07,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.862745,0.862745,B
0.083,0.011056,0.248568,0.306931,0.137529,0.812641,0.048193,0.915493,0.028169,0,0,0,0,0,0.028169,0.107692,0,0.83,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.785342,0.677607,B
0.033,0.001082,0.888594,0.673367,0.124909,0.633333,0.151515,0.862069,0,0,0,0,0,0,0,0.04,1,0.33,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.592867,0.623495,T
0.006,0.001045,0.623411,0.477387,0.12121,0.943396,0,1.166667,0,0,0,0,0,0,0.166667,0.142857,1,0.06,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0.05,0.938022,0.945355,B
1,0.274164,0.710347,0.935484,0.084218,0.800293,0.020339,0.975159,0.001274,0,0,0,0,0,0,0.155454,0,1,0.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.966667,0.05,0.701224,0.775524,B
0.001,0.000238,0.239895,0.137931,0.078333,0.833333,0,0,2,0,0,0,0,0,0,0,1,0.01,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.833333,0.864725,B
0.013,0.020734,0.845295,0.666667,0.063053,0.723404,0,1.1,0,0,0,0,0,0,0,0.181818,1,0.13,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.727581,0.78157,B
0.241,0.042155,0.475074,0.085714,0.126125,0.868879,0,0.625,0.38,0,0,0,0,0.095,0.005,0.168,1,1,0.1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.541667,0,0.575341,0.699771,B
0.012,0.000393,0.904884,0.801508,0.124909,0.333333,0,1.090909,0,0,0,0,0,0,0,0.166667,1,0.12,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.15,0.741952,0.748671,B
0.019,0.002644,0.772443,0.514451,0.115091,0.813726,0.052632,1,0,0,0,0,0,0,0.105263,0.157895,1,0.19,0.1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.545455,0.15,0.81585,0.812504,B
0.012,0.004545,0.175758,0.297297,0.114693,0.928144,0,0.444444,0.666667,0,0,0,0,0.111111,0,0.25,1,0.12,0.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.636364,0.05,0.737553,0.7402,T
0.001,0.000305,0.52925,0.65812,0.073967,0.833333,0,0,2,0,0,0,0,0,0,0,1,0.01,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.711111,0.576667,B
0.036,0.00118,0.671321,0.4799,0.124909,0.612903,0.083333,0.935484,0,0,0,0,0,0,0,0.034483,0,0.36,0.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.71178,0.68328,T
0.007,0.003367,0.731121,0.152542,0.07411,0.862745,0.142857,1,0,0,0,0,0,0,0.142857,0.285714,1,0.07,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.862745,0.862745,B
0.015,0.00032,0.22466,0.460123,0.372639,0.951613,0.066667,1,0,0,0,0,0,0,0.071429,0.071429,1,0.15,0.1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.615385,0.3,0.33396,0.585453,T
0.22,0.095528,0.314807,0.016949,0.069064,0.755556,0.109091,0.870968,0.005376,0,0,0.016129,0,0,0.021505,0.185185,0,0.55,0.4,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.724138,0.2,0.815459,0.576232,T
0.006,0.000189,0.554343,0.502262,0.455538,0.454546,0,1.166667,0,0,0,0,0,0,0,0.142857,1,0.06,0.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.333333,0.05,0.286956,0.277959,T
0.005,0.000158,0.864638,0.728507,0.455538,0.975962,0,1.2,0,0,0,0,0,0,0.2,0.166667,1,0.05,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0.05,0.609985,0.666388,B
0.22,0.029139,0.680795,0.754386,0.143307,0.067797,0.013636,0.989247,0,0,0,0,0,0,0,0.065217,0,1,0.1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0.05,0.367907,0.523428,T
0.012,0.001115,0.742613,0.437909,0.07994,0.89916,0,1.090909,0,0,0,0,0,0,0.090909,0.333333,1,0.12,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.876657,0.872595,B
0.035,0.00667,0.676577,0.68,0.09079,0.831731,0,1,0.035714,0,0,0,0,0,0.035714,0.107143,1,0.35,0.1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.375,0.05,0.822013,0.69363,B
0.096,0.019359,0.300262,0.325,0.067652,0.700935,0.125,0.6875,0.1625,0,0,0,0,0.0125,0.025,0.163636,0,0.96,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.631579,0.2,0.764772,0.826747,B
0.001,0.000305,0.076478,0.128205,0.073967,0.833333,0,0,2,0,0,0,0,0,0,0,1,0.01,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.711111,0.576667,B
0.004,0.000414,0.794139,0.015152,0.325327,0.6,0,1.25,0,0,0,0,0,0,0,0.2,1,0.04,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.4,0.15,0.581247,0.61212,B
0.009,0.005125,0.524488,0.818182,0.086806,0.939189,0,1.125,0,0,0,0,0,0,0.125,0.111111,1,0.09,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.520408,0.3,0.669148,0.627997,B
0.006,0.001534,0.740798,0.786517,0.055452,0.454546,0,1.166667,0,0,0,0,0,0,0,0.142857,1,0.06,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.757206,0.787657,B
0.037,0.001213,0.09174,0.062814,0.124909,0.606383,0.081081,0.939394,0,0,0,0,0,0,0,0.064516,0,0.37,0.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.608037,0.63423,T
0.086,0.002819,0.452376,0.286432,0.124909,0.418919,0.05814,0.944444,0,0,0,0,0,0,0,0.014706,1,0.86,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.446271,0.532062,T
0.095,0.016548,0.798467,0.939699,0.12121,0.791667,0.084211,0.914634,0,0,0,0,0,0,0.060976,0.106667,1,0.95,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.6,0.25,0.769561,0.788995,B
